exercise_name,link,url,file
Cable Cross High Reverse Fly,https://www.lyfta.app/exercise/cable-standing-cross-over-high-reverse-fly-6fp,https://www.lyfta.app//video/GymvisualMP4/02251201.mp4,02251201.mp4
Facepull Upright Row,https://www.lyfta.app/en/exercise/barbell-wide-grip-upright-row-62v,https://www.lyfta.app//video/GymvisualMP4/01231201.mp4,01231201.mp4
Upright Row (Dumbbell),https://www.lyfta.app/exercise/upright-row-0f,https://www.lyfta.app//video/GymvisualMP4/04371201.mp4,04371201.mp4
Pull Up (Assisted),https://www.lyfta.app/exercise/pull-up-6rk,https://www.lyfta.app//video/GymvisualMP4/06521201.mp4,06521201.mp4
Bent Over One Arm Row (Dumbbell),https://www.lyfta.app/exercise/one-arm-bent-over-row-8h,https://www.lyfta.app//video/GymvisualMP4/02921201.mp4,02921201.mp4
Shrug (Smith Machine),https://www.lyfta.app/exercise/smith-shrug-6ur,https://www.lyfta.app//video/GymvisualMP4/07671201.mp4,07671201.mp4
Preacher Curl (Machine),https://www.lyfta.app/en/exercise/lever-preacher-curl-hi,https://www.lyfta.app//video/GymvisualMP4/18721201.mp4,18721201.mp4
Overhead Press (Barbell),https://www.lyfta.app/exercise/barbell-seated-overhead-press-61z,https://www.lyfta.app//video/GymvisualMP4/00911201.mp4,00911201.mp4
Bench Press (Smith Machine),https://www.lyfta.app/exercise/bench-press-7,https://www.lyfta.app//video/GymvisualMP4/00251201.mp4,00251201.mp4
Cable Crossover,https://www.lyfta.app/en/exercise/standing-up-straight-crossovers-45,https://www.lyfta.app//video/GymvisualMP4/12691201.mp4,12691201.mp4
Cable Push Down Rope,https://www.lyfta.app/en/exercise/cable-pushdown-64a,https://www.lyfta.app//video/GymvisualMP4/02001201.mp4,02001201.mp4
Squat (Barbell),https://www.lyfta.app/en/exercise/barbell-full-squat-60n,https://www.lyfta.app//video/GymvisualMP4/00431201.mp4,00431201.mp4
Deadlift (Barbell),https://www.lyfta.app/exercise/deadlift-2,https://www.lyfta.app//video/GymvisualMP4/00321201.mp4,00321201.mp4
Bent Over Row (Barbell),https://www.lyfta.app/en/exercise/bent-over-row-9,https://www.lyfta.app//video/GymvisualMP4/00271201.mp4,00271201.mp4
Seated Row (Cable),https://www.lyfta.app/exercise/cable-seated-row-6x3,https://www.lyfta.app//video/GymvisualMP4/08611201.mp4,08611201.mp4
Lat Pulldown (Cable),https://www.lyfta.app/exercise/cable-wide-grip-lat-pulldown--7v7,https://www.lyfta.app//video/GymvisualMP4/22911201.mp4,22911201.mp4
Shrug (Machine),https://www.lyfta.app/exercise/smith-shrug-6ur,https://www.lyfta.app//video/GymvisualMP4/07671201.mp4,07671201.mp4
Hammer Curl (Cable),https://www.lyfta.app/exercise/cable-hammer-curl--63b,https://www.lyfta.app//video/GymvisualMP4/01651201.mp4,01651201.mp4
Incline Bench Press (Smith Machine),https://www.lyfta.app/exercise/incline-bench-press-p,https://www.lyfta.app//video/GymvisualMP4/00471201.mp4,00471201.mp4
Leg Extension (Machine),https://lyfta.app/exercise/lever-leg-extension-0b,https://www.lyfta.app//video/GymvisualMP4/05851201.mp4,05851201.mp4
Seated Calf Raise (Machine),https://www.lyfta.app/exercise/lever-seated-calf-raise--85l,https://www.lyfta.app//video/GymvisualMP4/26661201.mp4,26661201.mp4
Crunch (Machine),https://www.lyfta.app/exercise/lever-total-abdominal-crunch-7kh,https://www.lyfta.app//video/GymvisualMP4/18571201.mp4,18571201.mp4
